Name,URL
The Lync Developer Platform Demo Fest,http://video.ch9.ms/sessions/teched/eu/2014/DEV-B302.mp4
The Power of Lync and the Unified Communications Web API,http://video.ch9.ms/sessions/teched/eu/2014/DEV-B303.mp4
Certificates in Microsoft Lync Server,http://video.ch9.ms/sessions/teched/eu/2014/OFC-B311.mp4
Lync Large Meetings Best Practices,http://video.ch9.ms/sessions/teched/eu/2014/OFC-B323.mp4
Microsoft Lync Server 2013 High Availability and Disaster Recovery Deep Dive,http://video.ch9.ms/sessions/teched/eu/2014/OFC-B324.mp4
Microsoft Lync Server 2013 Security Aspects: Secure by Design,http://video.ch9.ms/sessions/teched/eu/2014/OFC-B325.mp4
Microsoft Lync Server 2013: Enterprise Voice,http://video.ch9.ms/sessions/teched/eu/2014/OFC-B326.mp4
Virtualizing Microsoft Lync Server 2013 Planning and Architecture,http://video.ch9.ms/sessions/teched/eu/2014/OFC-B327.mp4
Microsoft Lync Online,http://video.ch9.ms/sessions/teched/eu/2014/OFC-B328.mp4
"Lync-Skype Connectivity v2: Demos, Business Solutions, and Deep Dive",http://video.ch9.ms/sessions/teched/eu/2014/OFC-B329.mp4
Managing Microsoft Lync Server 2013 Backup and Restore,http://video.ch9.ms/sessions/teched/eu/2014/OFC-B331.mp4
Software Defined Networking with Microsoft Lync Server 2013,http://video.ch9.ms/sessions/teched/eu/2014/OFC-B340.mp4
Five Best Practices to Consider When Deploying Microsoft Lync 2013 for Mobile Clients,http://video.ch9.ms/sessions/teched/eu/2014/OFC-B344.mp4
Enterprise Networking with Microsoft Lync Server 2013: Network Bandwidth and QoS Requirements,http://video.ch9.ms/sessions/teched/eu/2014/OFC-B410.mp4
Microsoft Lync Deployment Options and the Multi-Forest Architecture,http://video.ch9.ms/sessions/teched/eu/2014/OFC-B412.mp4
